Block;Day_i;Temp;PopStruct;Group;PetriDish;Location;Dead_F;Total_F;Nr_Eggs;Nr_Juv;HatchingRate;Nr_Female;Nr_Male;SR;Fecundity
1;Wed;25;LMC-;1;A;A1;2;10;94;20;0,175438597;7;9;0,5625;11,4
1;Wed;25;LMC-;1;A;A2;2;10;66;10;0,131578947;9;9;0,5;7,6
1;Wed;25;LMC-;1;A;B1;0;10;42;15;0,263157895;4;12;0,75;5,7
1;Wed;25;LMC-;1;A;B2;1;10;89;17;0,160377359;0;0;;10,6
1;Wed;25;LMC-;1;B;A1;1;10;73;37;0,336363636;15;36;0,705882353;11
1;Wed;25;LMC-;1;B;A2;0;9;68;20;0,227272727;14;18;0,5625;9,777777778
1;Wed;25;LMC-;1;B;B1;2;9;35;10;0,222222222;25;46;0,647887324;5
1;Wed;25;LMC-;1;B;B2;3;10;64;31;0,32631579;22;41;0,650793651;9,5
1;Wed;25;LMC-;1;C;A1;2;10;30;17;0,361702128;27;8;0,228571429;4,7
1;Wed;25;LMC-;1;C;A2;4;9;26;7;0,212121212;41;8;0,163265306;3,666666667
1;Wed;25;LMC-;1;C;B1;1;10;42;10;0,192307692;25;18;0,418604651;5,2
1;Wed;25;LMC-;1;C;B2;0;10;38;13;0,254901961;45;18;0,285714286;5,1
1;Wed;25;LMC-;1;D;A1;2;9;70;3;0,04109589;15;18;0,545454546;8,111111111
1;Wed;25;LMC-;1;D;A2;1;9;61;13;0,175675676;14;49;0,777777778;8,222222222
1;Wed;25;LMC-;1;D;B1;2;9;79;21;0,21;9;42;0,823529412;11,11111111
1;Wed;25;LMC-;1;D;B2;0;9;44;11;0,2;12;32;0,727272727;6,111111111
1;Wed;25;LMC-;1;E;A1;1;10;59;26;0,305882353;13;23;0,638888889;8,5
1;Wed;25;LMC-;1;E;A2;0;10;87;12;0,121212121;10;33;0,767441861;9,9
1;Wed;25;LMC-;1;E;B1;0;10;69;13;0,158536585;12;35;0,744680851;8,2
1;Wed;25;LMC-;1;E;B2;1;9;59;6;0,092307692;18;6;0,25;7,222222222
1;Wed;25;LMC+;1;A;A1;0;2;18;0;0;11;8;0,421052632;9
1;Wed;25;LMC+;1;A;A2;0;2;20;0;0;7;5;0,416666667;10
1;Wed;25;LMC+;1;A;A3;1;2;14;0;0;8;1;0,111111111;7
1;Wed;25;LMC+;1;A;A4;1;2;20;0;0;4;6;0,6;10
1;Wed;25;LMC+;1;A;B1;0;2;23;0;0;9;9;0,5;11,5
1;Wed;25;LMC+;1;A;B2;1;2;17;0;0;4;5;0,555555556;8,5
1;Wed;25;LMC+;1;A;B3;0;2;23;0;0;10;8;0,444444444;11,5
1;Wed;25;LMC+;1;A;B4;0;2;14;7;0,333333333;7;5;0,416666667;10,5
1;Wed;25;LMC+;1;A;C1;0;2;22;1;0,043478261;6;4;0,4;11,5
1;Wed;25;LMC+;1;A;C2;1;2;14;3;0,176470588;7;4;0,363636364;8,5
1;Wed;25;LMC+;1;B;A1;0;2;24;2;0,076923077;18;3;0,142857143;13
1;Wed;25;LMC+;1;B;A2;0;2;11;2;0,153846154;3;4;0,571428571;6,5
1;Wed;25;LMC+;1;B;A3;0;2;22;0;0;12;16;0,571428571;11
1;Wed;25;LMC+;1;B;A4;1;2;14;0;0;14;18;0,5625;7
1;Wed;25;LMC+;1;B;B1;1;2;18;2;0,1;21;5;0,192307692;10
1;Wed;25;LMC+;1;B;B2;0;2;17;3;0,15;7;3;0,3;10
1;Wed;25;LMC+;1;B;B3;0;2;18;1;0,052631579;29;7;0,194444444;9,5
1;Wed;25;LMC+;1;B;B4;1;2;0;0;;0;0;;0
1;Wed;25;LMC+;1;B;C1;1;2;12;0;0;6;3;0,333333333;6
1;Wed;25;LMC+;1;B;C2;1;2;10;5;0,333333333;11;4;0,266666667;7,5
1;Wed;25;LMC-;2;A;A1;1;10;42;19;0,31147541;42;3;0,066666667;6,1
1;Wed;25;LMC-;2;A;A2;3;10;66;19;0,223529412;35;11;0,239130435;8,5
1;Wed;25;LMC-;2;A;B1;3;10;46;15;0,245901639;11;2;0,153846154;6,1
1;Wed;25;LMC-;2;A;B2;1;10;60;24;0,285714286;6;1;0,142857143;8,4
1;Wed;25;LMC-;2;B;A1;2;10;55;15;0,214285714;19;16;0,457142857;7
1;Wed;25;LMC-;2;B;A2;4;10;30;14;0,318181818;16;15;0,483870968;4,4
1;Wed;25;LMC-;2;B;B1;2;10;49;36;0,423529412;24;17;0,414634146;8,5
